Race_ID,Team_ID,Country,Lane,Final Rank,split time 1,split time 2,split time 3,Total Time
0,104,RUS,5.0,1.0,51,89,151,205
0,86,SRB,9.0,2.0,49,98,154,207
0,1,CZE,7.0,3.0,65,101,155,208
0,97,GBR,8.0,4.0,50,102,159,213
0,87,KGZ,2.0,6.0,70,106,165,223
0,123,CHN,6.0,7.0,74,112,168,225
0,66,HKG,3.0,8.0,72,109,175,240
1,29,CZE,7.0,1.0,51,,154,207
1,8,NZL,4.0,2.0,50,102,155,213
1,80,RUS,5.0,3.0,51,101,153,214
1,13,GBR,8.0,4.0,52,104,159,215
1,11,KGZ,2.0,5.0,52,106,162,222
1,72,CHN,6.0,6.0,54,110,169,230
1,114,HKG,3.0,7.0,53,111,172,235
1,52,SRB,9.0,8.0,55,113,178,244
2,118,CAN,1.0,1.0,49,96,151,204
2,95,GER,4.0,2.0,47,96,151,205
2,32,KAZ,7.0,3.0,50,101,156,207
2,85,LTU,6.0,4.0,51,100,155,207
2,124,BLR,2.0,5.0,57,102,156,209
2,99,NOR,5.0,6.0,50,99,153,214
2,21,ITA,3.0,7.0,48,104,164,224
3,19,FRA,5.0,1.0,48,,153,203
3,25,CAN,1.0,2.0,49,100,154,205
3,10,DEN,7.0,3.0,52,99,154,205
3,71,BLR,2.0,4.0,51,101,155,210
3,17,BEL,3.0,5.0,51,102,157,211
3,47,FIN,6.0,6.0,53,103,158,211
4,95,GER,6.0,1.0,50,93,152,205
4,104,RUS,5.0,2.0,52,102,153,206
4,124,BLR,2.0,3.0,50,103,156,207
4,10,DEN,3.0,4.0,51,102,155,208
4,8,NZL,4.0,5.0,52,104,155,208
4,38,NZL,8.0,6.0,54,109,163,224
4,71,BLR,7.0,7.0,53,106,164,228
4,72,CHN,1.0,8.0,55,112,171,233
4,21,ITA,9.0,9.0,54,114,189,259
5,19,FRA,4.0,1.0,46,96,148,199
5,10,DEN,5.0,2.0,50,100,149,200
5,25,CAN,3.0,3.0,48,99,150,201
5,8,NZL,7.0,4.0,56,101,152,203
5,17,BEL,8.0,5.0,49,98,151,204
5,47,FIN,1.0,6.0,51,102,154,207
5,32,KAZ,6.0,7.0,54,105,158,207
5,13,GBR,9.0,8.0,52,103,156,208
5,38,NZL,2.0,9.0,53,104,157,210
6,95,GER,5.0,1.0,45,88,141,190
6,86,SRB,2.0,2.0,46,97,142,191
6,80,RUS,6.0,3.0,50,96,144,192
6,124,BLR,8.0,4.0,48,104,152,193
6,85,LTU,7.0,5.0,47,93,143,193
6,1,CZE,4.0,6.0,,94,145,193
6,29,CZE,1.0,7.0,51,98,152,194
6,118,CAN,9.0,9.0,49,104,153,199
19,33,HUN,7.0,1.0,49,102,158,209
19,49,CZE,9.0,2.0,50,103,157,209
19,30,ARG,4.0,3.0,51,107,163,218
19,50,SWE,2.0,4.0,52,106,170,218
19,37,POR,3.0,5.0,50,106,165,219
19,68,DEN,6.0,6.0,55,108,165,220
19,47,FIN,8.0,7.0,52,106,164,226
19,11,KGZ,1.0,8.0,51,109,164,227
19,72,CHN,5.0,9.0,54,119,188,250
20,89,POR,4.0,1.0,48,104,162,218
20,97,GBR,1.0,2.0,51,106,165,220
20,86,SRB,8.0,3.0,51,108,166,220
20,70,BLR,5.0,4.0,49,108,167,220
20,16,HUN,2.0,5.0,53,109,167,221
20,99,NOR,6.0,6.0,53,110,167,222
20,18,POL,3.0,7.0,54,109,166,223
20,77,MEX,7.0,8.0,52,111,169,228
20,123,CHN,9.0,9.0,57,120,186,247
21,80,RUS,1.0,1.0,49,104,159,213
21,109,POL,5.0,2.0,50,105,162,217
21,125,BLR,2.0,3.0,52,109,165,218
21,128,CUB,7.0,4.0,50,107,166,221
21,122,AUT,6.0,5.0,51,109,168,222
21,29,CZE,8.0,6.0,52,109,167,222
21,87,KGZ,3.0,7.0,54,114,179,241
21,40,HKG,4.0,8.0,58,123,194,260
22,109,POL,5.0,1.0,51,105,162,216
22,86,SRB,4.0,2.0,50,107,164,216
22,128,CUB,3.0,3.0,49,105,162,217
22,37,POR,2.0,4.0,50,107,165,217
22,30,ARG,6.0,5.0,53,109,164,218
22,99,NOR,8.0,6.0,52,109,166,222
22,68,DEN,9.0,7.0,53,109,167,223
22,70,BLR,7.0,8.0,51,108,168,224
22,87,KGZ,1.0,9.0,55,114,179,239
23,49,CZE,5.0,1.0,50,106,161,215
23,50,SWE,3.0,2.0,52,108,164,217
23,97,GRB,4.0,3.0,51,108,163,217
23,122,AUT,2.0,4.0,53,109,166,219
23,125,BLR,6.0,5.0,53,109,166,219
23,29,CZE,8.0,6.0,53,108,165,221
23,18,POL,1.0,7.0,54,110,168,221
23,16,HUN,7.0,8.0,54,111,167,222
23,47,FIN,9.0,9.0,55,113,170,229
24,99,NOR,7.0,1.0,50,102,155,206
24,29,CZE,2.0,2.0,49,102,157,209
24,68,DEN,1.0,3.0,49,103,158,209
24,30,ARG,3.0,4.0,50,104,159,211
24,125,BLR,6.0,5.0,49,104,162,212
24,16,HUN,9.0,6.0,51,106,161,213
24,37,POR,5.0,7.0,49,104,161,213
24,18,POL,8.0,8.0,52,107,163,213
24,122,AUT,4.0,9.0,50,105,163,216
25,33,HUN,5.0,1.0,47,98,151,200
25,80,RUS,6.0,2.0,48,101,152,201
25,109,POL,3.0,3.0,48,100,153,202
25,49,CZE,7.0,4.0,48,100,153,203
25,128,CUB,1.0,5.0,48,102,156,207
25,86,SRB,8.0,6.0,48,100,155,207
25,50,SWE,2.0,7.0,48,103,158,209
25,97,GRB,9.0,8.0,50,103,157,209
25,89,POR,4.0,9.0,47,102,173,240
10,81,BLR,4.0,1.0,45,92,142,191
10,119,SVK,5.0,2.0,44,93,142,192
10,109,POL,7.0,3.0,46,94,144,193
10,63,UKR,2.0,4.0,46,95,146,194
10,129,CZE,6.0,5.0,46,94,145,194
10,103,NOR,3.0,6.0,47,96,146,195
10,47,FIN,9.0,7.0,47,97,149,201
10,24,KOR,8.0,8.0,47,98,154,208
11,102,POR,7.0,1.0,44,94,144,193
11,106,AUS,4.0,2.0,44,92,142,193
11,26,ESP,6.0,3.0,44,93,144,195
11,86,SRB,3.0,4.0,45,94,145,195
11,90,ROU,8.0,5.0,44,93,145,196
11,127,CUB,2.0,6.0,44,94,146,198
11,51,SWE,5.0,7.0,46,96,148,200
12,33,HUN,6.0,1.0,45,94,144,192
12,80,RUS,5.0,2.0,45,94,143,193
12,118,CAN,4.0,3.0,45,96,146,194
12,67,MEX,8.0,4.0,46,95,146,195
12,5,EST,2.0,5.0,45,95,146,196
12,62,DEN,7.0,6.0,46,95,147,198
12,92,VEN,9.0,7.0,45,95,147,200
12,6,LAT,3.0,8.0,48,99,157,214
13,95,GER,6.0,1.0,44,93,142,192
13,20,BEL,5.0,2.0,45,93,143,193
13,85,LTU,7.0,3.0,46,95,145,194
13,31,ARG,3.0,4.0,45,94,145,195
13,9,ITA,8.0,5.0,46,95,146,196
13,97,GBR,4.0,6.0,46,96,147,198
13,4,KAZ,2.0,7.0,48,101,157,209
15,20,BEL,4.0,1.0,46,97,149,196
15,109,POL,6.0,2.0,46,97,149,197
15,102,POR,5.0,3.0,45,96,149,198
15,63,UKR,2.0,4.0,46,97,150,200
15,67,MEX,7.0,5.0,45,97,150,200
15,118,CAN,3.0,6.0,45,97,150,201
15,90,ROU,8.0,7.0,46,98,151,202
15,97,GBR,9.0,8.0,46,98,152,207
15,92,VEN,1.0,9.0,47,102,158,211
14,81,BLR,5.0,1.0,44,94,144,193
14,106,AUS,4.0,2.0,45,93,143,194
14,80,RUS,6.0,3.0,45,95,146,196
14,85,LTU,3.0,4.0,46,96,148,198
14,129,CZE,8.0,5.0,46,96,148,198
14,5,EST,2.0,6.0,46,97,149,199
14,31,ARG,7.0,7.0,45,96,149,199
14,51,SWE,9.0,8.0,46,97,153,206
14,127,CUB,1.0,9.0,44,96,153,206
16,95,GER,5.0,1.0,45,95,147,196
16,119,SVK,6.0,2.0,46,97,148,197
16,33,HUN,4.0,3.0,46,96,148,199
16,86,SRB,7.0,4.0,46,97,149,199
16,26,ESP,3.0,5.0,46,97,150,202
16,62,DEN,8.0,6.0,47,99,153,204
16,47,FIN,9.0,7.0,47,100,154,205
16,103,NOR,1.0,8.0,46,99,154,207
17,85,LTU,5.0,1.0,46,97,147,198
17,63,UKR,6.0,2.0,46,97,149,199
17,86,SRB,4.0,3.0,46,96,147,199
17,118,CAN,1.0,4.0,47,98,149,199
17,129,CZE,7.0,5.0,47,97,149,200
17,5,EST,2.0,6.0,47,98,151,201
17,26,ESP,8.0,7.0,46,97,150,202
17,67,MEX,3.0,8.0,46,99,153,203
17,62,DEN,9.0,9.0,48,99,153,205
18,95,GER,6.0,1.0,47,99,152,202
18,81,BLR,5.0,2.0,48,98,151,203
18,33,HUN,9.0,3.0,48,99,153,203
18,109,POL,7.0,4.0,49,100,153,203
18,106,AUS,3.0,5.0,48,99,152,204
18,20,BEL,4.0,6.0,49,100,154,205
18,102,POR,1.0,7.0,47,100,154,206
18,80,RUS,8.0,8.0,49,101,154,206
18,119,SVK,2.0,9.0,48,100,154,207
29,95,GER,8.0,1.0,48,96,148,202
29,57,FRA,3.0,2.0,49,97,152,205
29,58,HUN,4.0,3.0,51,101,155,206
29,14,GBR,6.0,4.0,52,104,155,206
29,25,CAN,2.0,5.0,48,98,154,208
29,45,TUR,5.0,6.0,52,102,158,209
29,17,BEL,1.0,7.0,50,100,157,209
29,111,SIN,7.0,8.0,53,110,165,234
30,64,SVK,8.0,1.0,47,96,149,203
30,28,ARG,6.0,2.0,48,99,152,206
30,3,IRI,4.0,3.0,53,103,157,208
30,47,FIN,5.0,4.0,52,101,155,208
30,4,KAZ,2.0,5.0,51,104,160,215
31,120,SVK,6.0,1.0,50,99,153,201
31,78,RUS,1.0,2.0,49,98,153,202
31,2,CZE,2.0,3.0,52,101,154,207
31,27,ARG,5.0,4.0,49,101,155,207
31,94,CAN,4.0,5.0,51,102,156,209
32,57,FRA,5.0,1.0,51,101,156,208
32,2,CZE,6.0,2.0,52,103,157,209
32,4,KAZ,2.0,3.0,49,101,157,210
32,14,GBR,7.0,4.0,54,106,160,211
32,3,IRI,4.0,5.0,57,104,161,213
32,45,TUR,1.0,6.0,56,105,162,215
32,27,ARG,3.0,7.0,50,102,159,215
33,78,RUS,4.0,1.0,50,99,152,205
33,28,ARG,5.0,2.0,54,103,156,206
33,25,CAN,7.0,3.0,53,101,155,206
33,58,HUN,6.0,4.0,55,104,158,207
33,94,CAN,2.0,5.0,51,102,158,207
33,47,FIN,3.0,6.0,56,105,159,210
33,17,BEL,1.0,7.0,50,100,157,213
34,58,HUN,4.0,1.0,50,101,156,205
34,14,GBR,5.0,2.0,52,100,153,205
34,94,CAN,6.0,3.0,53,103,157,205
34,17,BEL,8.0,4.0,49,99,152,205
34,27,ARG,1.0,5.0,49,100,154,206
34,45,TUR,7.0,6.0,54,102,156,207
34,3,IRI,3.0,7.0,57,104,158,210
34,47,FIN,2.0,8.0,56,105,159,212
35,95,GER,5.0,1.0,48,98,150,201
35,120,SVK,6.0,2.0,52,99,153,203
35,57,FRA,3.0,3.0,50,103,156,203
35,78,RUS,7.0,4.0,52,100,153,204
35,2,CZE,8.0,5.0,53,102,154,206
35,25,CAN,9.0,6.0,50,102,157,207
35,28,ARG,2.0,7.0,56,104,159,209
35,64,SVK,4.0,8.0,55,101,156,209
35,32,KAZ,1.0,9.0,57,105,160,213
36,57,FRA,4.0,1.0,49,103,,210
36,35,ITA,7.0,2.0,49,,,211
36,95,GER,3.0,3.0,50,103,160,211
36,91,DEN,2.0,4.0,51,105,161,212
36,45,TUR,6.0,5.0,50,106,163,213
36,36,SRB,5.0,6.0,49,104,163,213
36,83,JPN,1.0,7.0,50,104,163,215
37,85,LTU,6.0,1.0,49,101,156,209
37,101,RUS,2.0,3.0,48,101,160,213
37,17,BEL,4.0,4.0,48,101,159,213
37,15,GBR,7.0,5.0,49,103,160,214
37,84,SVK,8.0,6.0,51,106,164,220
38,33,HUN,5.0,1.0,49,102,157,210
38,79,HUN,1.0,2.0,49,102,156,212
38,74,HUN,7.0,3.0,51,105,162,212
38,23,HUN,4.0,4.0,51,105,162,213
38,82,HUN,3.0,5.0,53,109,166,225
38,111,HUN,6.0,6.0,54,112,174,234
39,120,SVK,2.0,1.0,48,102,157,206
39,88,HUN,4.0,2.0,49,102,155,208
39,126,SRB,3.0,3.0,47,100,156,209
39,5,EST,5.0,4.0,48,101,157,210
39,73,CHN,1.0,5.0,50,104,159,210
39,116,ROM,7.0,6.0,49,102,158,211
39,7,SLO,8.0,7.0,51,103,159,212
39,43,RSA,6.0,8.0,50,103,159,213
40,120,SVK,5.0,2.0,48,102,156,204
40,35,ITA,4.0,3.0,49,102,155,205
40,74,CHN,3.0,4.0,50,104,158,206
40,73,CHN,2.0,5.0,51,106,159,210
40,84,SVK,1.0,6.0,49,105,160,212
40,7,SLO,9.0,7.0,51,107,163,214
40,23,KOR,7.0,8.0,50,105,162,218
40,36,SRB,8.0,9.0,65,109,167,218
41,33,HUN,5.0,1.0,48,99,154,202
41,95,GER,6.0,2.0,47,100,155,202
41,5,EST,2.0,3.0,47,99,153,202
41,101,RUS,3.0,4.0,48,101,155,202
41,88,HUN,4.0,5.0,49,102,156,206
41,43,RSA,1.0,6.0,50,102,158,208
41,17,BEL,7.0,7.0,49,102,159,210
41,45,TUR,8.0,8.0,51,105,160,210
41,111,SIN,9.0,9.0,56,118,183,242
42,15,GRB,2.0,1.0,47,99,152,203
42,57,FRA,5.0,2.0,48,101,155,203
42,79,RUS,4.0,3.0,48,100,154,204
42,126,SRB,3.0,4.0,47,99,155,206
42,3,IRA,6.0,5.0,51,105,160,209
42,91,DEN,7.0,6.0,50,103,160,214
42,83,JPN,1.0,7.0,49,104,163,215
42,116,ROM,9.0,8.0,47,100,159,221
42,82,USA,8.0,9.0,53,109,173,230
43,88,HUN,3.0,1.0,48,101,155,208
43,126,SRB,4.0,2.0,48,103,157,209
43,84,SVK,2.0,3.0,51,106,160,212
43,3,IRA,8.0,4.0,51,105,161,213
43,74,CHN,5.0,5.0,51,104,160,213
43,43,RSA,1.0,6.0,49,103,159,214
43,101,RUS,6.0,7.0,49,104,161,215
43,73,CHN,7.0,8.0,52,106,163,215
43,91,DEN,9.0,9.0,50,106,164,216
44,57,FRA,2.0,1.0,47,99,154,204
44,95,GER,7.0,2.0,47,100,155,204
44,85,LTU,5.0,3.0,47,99,153,204
44,33,HUN,4.0,4.0,48,100,155,204
44,120,SVK,3.0,5.0,47,101,156,206
44,5,EST,1.0,6.0,47,101,156,209
44,35,ITA,8.0,7.0,48,101,157,209
44,79,RUS,9.0,8.0,48,101,158,211
44,15,GRB,6.0,9.0,48,101,159,211
26,106,AUS,6.0,1.0,48,97,148,202
26,7,SLO,5.0,2.0,49,101,153,206
26,55,HUN,7.0,3.0,49,100,153,206
26,34,SUI,3.0,4.0,51,104,159,215
26,46,FIN,8.0,5.0,49,102,156,215
26,12,KGZ,4.0,6.0,50,107,167,229
27,46,FIN,3.0,1.0,52,107,162,217
27,54,NED,6.0,2.0,52,105,162,217
27,122,AUT,5.0,3.0,52,108,164,217
27,34,SUI,4.0,4.0,53,107,163,219
27,12,KGZ,7.0,5.0,56,116,179,242
28,109,POL,4.0,1.0,49,95,144,194
28,106,AUS,5.0,2.0,47,95,145,195
28,35,ITA,6.0,3.0,49,96,147,197
28,55,HUN,7.0,4.0,48,98,149,198
28,41,HUN,2.0,5.0,47,98,149,200
28,46,FIN,8.0,6.0,50,102,154,205
28,7,SLO,3.0,7.0,49,101,154,205
28,122,AUT,9.0,8.0,51,104,157,209
28,54,NED,1.0,9.0,50,103,157,212
